step,value
1,2.293936014175415
2,1.9145193099975586
3,1.6171698570251465
4,1.5640342235565186
5,1.4456944465637207
6,1.420678973197937
7,1.4535984992980957
8,1.3914626836776733
9,1.376988410949707
10,1.4131802320480347
11,1.3820832967758179
12,1.375056505203247
13,1.369529128074646
14,1.3696024417877197
15,1.377464771270752
16,1.3802374601364136
17,1.3616158962249756
18,1.361372947692871
19,1.3502434492111206
20,1.3650649785995483
21,1.3639726638793945
22,1.3441386222839355
23,1.3478349447250366
24,1.3508079051971436
25,1.361024022102356
26,1.3718070983886719
27,1.3619143962860107
28,1.364323377609253
29,1.357749342918396
30,1.3566300868988037
31,1.3456885814666748
32,1.3500834703445435
33,1.3531891107559204
34,1.3566336631774902
35,1.3479888439178467
36,1.3547205924987793
37,1.35370671749115
38,1.3533673286437988
39,1.3508193492889404
40,1.3455021381378174
41,1.343965768814087
42,1.350775122642517
43,1.3402824401855469
44,1.3520551919937134
45,1.3506371974945068
46,1.3427114486694336
47,1.3519831895828247
48,1.342220664024353
49,1.3489594459533691
50,1.356168270111084
51,1.343975305557251
52,1.3759020566940308
53,1.3426908254623413
54,1.3462505340576172
55,1.3519998788833618
56,1.345255732536316
57,1.3369559049606323
58,1.3457136154174805
59,1.3446576595306396
60,1.3369989395141602
61,1.3463622331619263
62,1.3531016111373901
63,1.347542405128479
64,1.336276650428772
65,1.350356101989746
66,1.3414095640182495
67,1.3420332670211792
68,1.350794792175293
69,1.3523528575897217
70,1.337044358253479
71,1.3504830598831177
72,1.3535552024841309
73,1.33522367477417
74,1.328829288482666
75,1.3464699983596802
76,1.350959300994873
77,1.3512054681777954
78,1.3386101722717285
79,1.3538612127304077
80,1.3405262231826782
81,1.3446301221847534
82,1.3447096347808838
83,1.3444689512252808
84,1.3480557203292847
85,1.3422949314117432
86,1.3234089612960815
87,1.3431771993637085
88,1.3452600240707397
89,1.3369174003601074
90,1.353513240814209
91,1.3550479412078857
92,1.3419899940490723
93,1.3467425107955933
94,1.3279818296432495
95,1.3419760465621948
96,1.3369845151901245
97,1.3501360416412354
98,1.3443808555603027
